5000000,11868
3000000,7075
2000000,4946
1000000,2570
500000,1197
4000000,9335
750000,1846
100000,470
1000,71
0,0
5000000,11272
3000000,6560
2000000,4641
1000000,2375
500000,1122
4000000,8832
750000,1720
100000,439
1000,27
0,0
5000000,11533
3000000,6847
2000000,4673
1000000,2404
500000,1158
4000000,8935
750000,1794
100000,441
1000,24
0,0
5000000,11563
3000000,7049
2000000,4817
1000000,2424
500000,1109
4000000,9258
750000,1746
100000,419
1000,31
0,0
5000000,11894
3000000,6921
2000000,4829
1000000,2545
500000,1195
4000000,9428
750000,1795
100000,431
1000,21
0,0
5000000,11563
3000000,7236
2000000,4830
1000000,2713
500000,1222
4000000,9309
750000,1880
100000,471
1000,21
0,0
5000000,12054
3000000,6937
2000000,4953
1000000,2648
500000,1176
4000000,9470
750000,1838
100000,467
1000,6
0,0
5000000,11782
3000000,7002
2000000,4789
1000000,2582
500000,1173
4000000,9256
750000,1779
100000,434
1000,13
0,0
5000000,12497
3000000,7083
2000000,5047
1000000,2600
500000,1153
4000000,9937
750000,1831
100000,462
1000,-3
0,0
5000000,11719
3000000,6894
2000000,4695
1000000,2528
500000,1158
4000000,9083
750000,1768
100000,415
1000,4
0,0
